cf_id,contact_id,company_name,project_description,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,failed,0,CA,CAD,2020-02-13,2021-03-01,cat1,subcat1
1621,3765,Odom Inc,Managed bottom-line architecture,successful,158,US,USD,2021-01-25,2021-05-25,cat2,subcat2
1812,4187,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,successful,1425,AU,AUD,2020-12-17,2021-12-30,cat3,subcat3
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,failed,24,US,USD,2021-10-21,2022-01-17,cat2,subcat2
1365,2199,Larson-Little,Proactive foreground core,failed,53,US,USD,2020-12-21,2021-08-23,cat4,subcat4
2057,5650,Harris Group,Open-source optimizing database,successful,174,DK,DKK,2020-12-11,2021-08-29,cat4,subcat4
1894,5889,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,failed,18,GB,GBP,2020-07-31,2021-05-11,cat5,subcat5
2669,4842,Carter-Guzman,Centralized cohesive challenge,successful,227,DK,DKK,2020-12-22,2021-09-21,cat4,subcat4
1114,3280,Nunez-Richards,Exclusive attitude-oriented intranet,live,708,DK,DKK,2020-04-08,2021-03-10,cat4,subcat4
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,failed,44,US,USD,2021-08-13,2021-08-31,cat2,subcat6
2340,3064,Green Ltd,Monitored empowering installation,successful,220,US,USD,2020-07-11,2021-08-02,cat5,subcat7
601,4904,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,failed,27,US,USD,2020-08-11,2021-06-26,cat4,subcat4
1950,1299,Kim Ltd,Assimilated hybrid intranet,failed,55,US,USD,2020-11-14,2021-04-09,cat5,subcat7
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,successful,98,US,USD,2020-11-11,2021-11-06,cat2,subcat8
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,failed,200,US,USD,2021-11-14,2022-01-02,cat2,subcat8
505,4495,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,failed,452,US,USD,2021-10-25,2021-12-16,cat3,subcat9
1245,4269,Hines Inc,Cross-platform systemic adapter,successful,100,US,USD,2021-08-20,2021-12-22,cat6,subcat10
2550,2226,Cochran-Nguyen,Seamless 4thgeneration methodology,successful,1249,US,USD,2020-04-12,2021-03-24,cat5,subcat11
875,1558,Johnson-Gould,Exclusive needs-based adapter,canceled,135,US,USD,2021-03-24,2022-01-27,cat4,subcat4
2283,2307,Perez-Hess,Down-sized cohesive archive,failed,674,US,USD,2021-10-12,2021-11-17,cat4,subcat4
118,2900,"Reeves, Thompson and Richardson",Proactive composite alliance,successful,1396,US,USD,2020-04-12,2021-04-09,cat5,subcat7
711,5695,Simmons-Reynolds,Re-engineered intangible definition,failed,558,US,USD,2021-03-14,2021-04-29,cat4,subcat4
1747,5708,Collier Inc,Enhanced dynamic definition,successful,890,US,USD,2020-07-06,2021-08-04,cat4,subcat4
1825,1663,Gray-Jenkins,Devolved next generation adapter,successful,142,GB,GBP,2021-07-23,2021-09-12,cat5,subcat5
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame,successful,2673,US,USD,2021-05-01,2021-10-01,cat3,subcat9
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,successful,163,US,USD,2020-10-09,2021-05-23,cat7,subcat12
2653,2251,Spencer-Bates,Optional responsive customer loyalty,canceled,1480,US,USD,2020-11-20,2021-07-27,cat4,subcat4
2502,6202,"Best, Carr and Williams",Diverse transitional migration,failed,15,US,USD,2021-01-08,2021-10-15,cat2,subcat2
325,3715,"Campbell, Brown and Powell",Synchronized global task-force,successful,2220,US,USD,2020-12-23,2021-12-23,cat4,subcat4
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,successful,1606,CH,CHF,2020-11-06,2021-08-27,cat5,subcat13
2303,4326,Clark-Cooke,Down-sized analyzing challenge,successful,129,US,USD,2020-10-28,2021-02-15,cat5,subcat11
2224,5560,Schroeder Ltd,Progressive needs-based focus group,successful,226,GB,GBP,2020-11-25,2021-02-05,cat7,subcat12
1173,4002,Jackson PLC,Ergonomic 6thgeneration success,failed,2307,IT,EUR,2021-02-21,2021-11-26,cat5,subcat5
210,3813,"Blair, Collins and Carter",Exclusive interactive approach,successful,5419,US,USD,2021-04-04,2021-12-09,cat4,subcat4
